Nama Cabang,Nama Outlet
10001:CP MEDAN UTAMA,10001:CP MEDAN UTAMA
10001:CP MEDAN UTAMA,10002:UPC TITI KUNING
10001:CP MEDAN UTAMA,10003:UPC KATAMSO
10001:CP MEDAN UTAMA,10004:UPC MEDAN PLASA
10001:CP MEDAN UTAMA,10005:UPC PUSAT PASAR
10001:CP MEDAN UTAMA,10006:UPC GAJAHMADA
10001:CP MEDAN UTAMA,10007:UPC SIMPANG UISU
10001:CP MEDAN UTAMA,10008:UPC MULTATULI
10001:CP MEDAN UTAMA,10200:UPC MEDAN THAMRIN
10009:CP LABUHAN DELI,10009:CP LABUHAN DELI
10009:CP LABUHAN DELI,10010:UPC MARELAN
10009:CP LABUHAN DELI,10011:UPC BELAWAN
10009:CP LABUHAN DELI,10012:UPC HAMPARAN PERAK
10009:CP LABUHAN DELI,10013:UPC MARTUBUNG
10009:CP LABUHAN DELI,10014:UPC MARELAN 2
10016:CP PANCUR BATU,10016:CP PANCUR BATU
10016:CP PANCUR BATU,10017:UPC TANJUNG ANOM
10016:CP PANCUR BATU,10018:UPC SELAYANG
10016:CP PANCUR BATU,10019:UPC KARYA KASIH
10025:CP TANJUNG PURA,10025:CP TANJUNG PURA
10025:CP TANJUNG PURA,10026:UPC STABAT
10025:CP TANJUNG PURA,10027:UPC KUALA BEGUMIT
10025:CP TANJUNG PURA,10028:UPC PERDAMAIAN STABAT
10025:CP TANJUNG PURA,17001:UPC BRI UNIT BATANG SERANGAN
10029:CP PKL BRANDAN,10029:CP PKL BRANDAN
10029:CP PKL BRANDAN,10030:UPC PANGKALAN SUSU
10029:CP PKL BRANDAN,10031:UPC PELAWI
10029:CP PKL BRANDAN,10032:UPC SEI LAPAN
10029:CP PKL BRANDAN,10033:UPC BESITANG
10034:CP BINJAI,10034:CP BINJAI
10034:CP BINJAI,10035:UPC BINJAI UTARA
10034:CP BINJAI,10036:UPC PASAR TAVIP
10034:CP BINJAI,10037:UPC MERDEKA
10034:CP BINJAI,10038:UPC SOEKARNO HATTA
10034:CP BINJAI,10039:UPC BANGKATAN
10034:CP BINJAI,14375:UPC KUALA
10034:CP BINJAI,14428:UPC TANAH SERIBU
10124:CP MEDAN SUNGGAL,10124:CP MEDAN SUNGGAL
10124:CP MEDAN SUNGGAL,10125:UPC PASAR SUNGGAL
10124:CP MEDAN SUNGGAL,10126:UPC CINTA DAMAI
10124:CP MEDAN SUNGGAL,10127:UPC AMAL
10124:CP MEDAN SUNGGAL,10128:UPC ASOKA
10124:CP MEDAN SUNGGAL,10129:UPC BATANG HARI
10130:CP KRAKATAU,10130:CP KRAKATAU
10130:CP KRAKATAU,10131:UPC PERJUANGAN
10130:CP KRAKATAU,10132:UPC PANCING
10130:CP KRAKATAU,10133:UPC SIDORUKUN
10130:CP KRAKATAU,10134:UPC MAHAMERU
10130:CP KRAKATAU,10135:UPC BAYANGKARA
10130:CP KRAKATAU,14393:UPC LODENDANG
10136:CP KABANJAHE,10136:CP KABANJAHE
10136:CP KABANJAHE,10137:UPC BRASTAGI
10136:CP KABANJAHE,10138:UPC TIGA PANAH
10136:CP KABANJAHE,14373:UPC TIGA BINANGA
10136:CP KABANJAHE,14427:UPC LAU CIMBA
10136:CP KABANJAHE,17004:UPC BRI UNIT SARIBU DOLOK
10136:CP KABANJAHE,17104:UPC BRI UNIT TIGANDERKET
10136:CP KABANJAHE,17105:UPC BRI UNIT LAUBALENG
10139:CP MEDAN KARYA,10139:CP MEDAN KARYA
10139:CP MEDAN KARYA,10141:UPC PASAR IV
10139:CP MEDAN KARYA,10142:UPC ADAM MALIK
10154:CP SIDIKALANG,10154:CP SIDIKALANG
10154:CP SIDIKALANG,10155:UPC SUMBUL
10154:CP SIDIKALANG,14372:UPC TIGA LINGGA
10154:CP SIDIKALANG,17041:UPC BRI UNIT SALAK SIDIKALANG
10154:CP SIDIKALANG,17230:UPC BRI UNIT PARONGIL
10165:CP GAHARU,10165:CP GAHARU
10165:CP GAHARU,10166:UPC SERDANG
10165:CP GAHARU,10167:UPC KAMPUNG DURIAN
10165:CP GAHARU,10168:UPC PRINTIS
10165:CP GAHARU,10169:UPC GLUGUR
10176:CP KP LALANG,10176:CP KP LALANG
10176:CP KP LALANG,10177:UPC DISKI
10176:CP KP LALANG,10178:UPC PONDOK KELAPA
10176:CP KP LALANG,10179:UPC KLAMBIR LIMA
10176:CP KP LALANG,10180:UPC RING ROAD
10176:CP KP LALANG,10181:UPC SEMAYANG
10176:CP KP LALANG,10182:UPC MEDAN KRIYO
10176:CP KP LALANG,10183:UPC KLUMPANG
10176:CP KP LALANG,17032:UPC BRI UNIT KLUMPANG
10185:CP PULO BRAYAN,10185:CP PULO BRAYAN
10185:CP PULO BRAYAN,10186:UPC TITI PAPAN
10185:CP PULO BRAYAN,10187:UPC VETERAN
10185:CP PULO BRAYAN,10188:UPC MABAR
10189:CP HELVETIA,10189:CP HELVETIA
10189:CP HELVETIA,10190:UPC PASAR HELVETIA
10189:CP HELVETIA,10191:UPC SEI SIKAMBING
10189:CP HELVETIA,10192:UPC PLASA MILENIUM
10204:CP MEDAN PETISAH,10204:CP MEDAN PETISAH
10204:CP MEDAN PETISAH,10205:UPC GATOT SUBROTO
10204:CP MEDAN PETISAH,10207:UPC SEKIP
10204:CP MEDAN PETISAH,10208:UPC MEDAN FAIR
60075:CPS AR.HAKIM,60075:CPS AR.HAKIM
60075:CPS AR.HAKIM,60078:UPS AHMAD YANI SIANTAR
60075:CPS AR.HAKIM,60079:UPS WAHIDIN SIANTAR
60075:CPS AR.HAKIM,60919:UPS AYAHANDA
